timestamp,sxr_flux,hxr_flux
2026-06-30 10:35:00+00:00,1.705593945189321e-06,3.734146503120428e-08
2026-06-30 10:36:00+00:00,1.763877321536711e-06,4.216272841972568e-08
2026-06-30 10:37:00+00:00,1.7805516563385027e-06,4.2156852231300945e-08
2026-06-30 10:38:00+00:00,1.8388747093922575e-06,4.36996288044611e-08
2026-06-30 10:39:00+00:00,1.89192815014394e-06,4.778454609777327e-08
2026-06-30 10:40:00+00:00,1.8641129599927808e-06,4.376719076049085e-08
2026-06-30 10:41:00+00:00,1.8280370568390936e-06,4.03386657410465e-08
2026-06-30 10:42:00+00:00,1.8164500943385065e-06,3.738882270454269e-08
2026-06-30 10:43:00+00:00,1.7829440821515163e-06,3.6278478887652454e-08
2026-06-30 10:44:00+00:00,1.7520434312245925e-06,3.4928884673490757e-08
2026-06-30 10:45:00+00:00,1.7533417349113734e-06,3.184294428137946e-08
2026-06-30 10:46:00+00:00,1.7924120356838102e-06,3.9271025542575444e-08
2026-06-30 10:47:00+00:00,1.8512621409172425e-06,4.681290022290341e-08
2026-06-30 10:48:00+00:00,1.9694207367138006e-06,6.264433949354498e-08
2026-06-30 10:49:00+00:00,2.057158098978107e-06,7.239661670155328e-08
2026-06-30 10:50:00+00:00,2.052536046903697e-06,6.149918618802985e-08
2026-06-30 10:51:00+00:00,2.021405407504062e-06,5.42425055982676e-08
2026-06-30 10:52:00+00:00,1.9894237084372435e-06,4.9007187641336714e-08
2026-06-30 10:53:00+00:00,1.9698952655744506e-06,4.776814677143193e-08
2026-06-30 10:54:00+00:00,1.9564367903512903e-06,4.4291500245208226e-08
2026-06-30 10:55:00+00:00,1.925884589581983e-06,4.061847036496147e-08
2026-06-30 10:56:00+00:00,1.8905491288023768e-06,3.726929165281945e-08
2026-06-30 10:57:00+00:00,1.8567704955785302e-06,3.508366219762138e-08
2026-06-30 10:58:00+00:00,1.8512453152652597e-06,3.836306206039808e-08
2026-06-30 10:59:00+00:00,1.8635765854924102e-06,3.83642486667668e-08
2026-06-30 11:00:00+00:00,1.894607976282714e-06,3.990729524616654e-08
2026-06-30 11:01:00+00:00,1.9032747786695836e-06,4.244199658387515e-08
2026-06-30 11:02:00+00:00,1.91257345250051e-06,4.652565266383135e-08
2026-06-30 11:03:00+00:00,1.9321366835356457e-06,5.203039066259407e-08
2026-06-30 11:04:00+00:00,1.967694743143511e-06,5.4551819061998685e-08
2026-06-30 11:05:00+00:00,2.0330110146460356e-06,6.49970246513476e-08
2026-06-30 11:06:00+00:00,2.0966670035704738e-06,6.848221545396882e-08
2026-06-30 11:07:00+00:00,2.08683627533901e-06,6.79412721638073e-08
2026-06-30 11:08:00+00:00,2.0682862214016495e-06,6.165456767348587e-08
2026-06-30 11:09:00+00:00,2.0664167550421553e-06,6.123163842630674e-08
2026-06-30 11:10:00+00:00,2.075604697893141e-06,6.504737370960356e-08
2026-06-30 11:11:00+00:00,2.0784007119800663e-06,6.379775641107699e-08
2026-06-30 11:12:00+00:00,2.0656284505093936e-06,6.010809983081344e-08
2026-06-30 11:13:00+00:00,2.0493152987910435e-06,5.706514727421563e-08
2026-06-30 11:14:00+00:00,2.0268344087526202e-06,5.678422354549184e-08
2026-06-30 11:15:00+00:00,2.0171712549199583e-06,5.4857714815170766e-08
2026-06-30 11:16:00+00:00,2.503483756299829e-06,1.1785517273210644e-07
2026-06-30 11:17:00+00:00,2.583243485787534e-06,1.1210024553065523e-07
2026-06-30 11:18:00+00:00,2.3509473976446316e-06,7.916867872381772e-08
2026-06-30 11:19:00+00:00,2.281266688441974e-06,7.313438743494771e-08
